isin,fund_name,category,fund_type,risk_rating,performance_rating,investment_strategy,dividend_frequency,roe,asset_stock,asset_bond,country_exposure,ongoing_cost,management_fees,nav_per_share_currency,nav_per_share,latest_nav_date,fund_trailing_return_ytd,fund_trailing_return_3years,fund_trailing_return_5years,fund_trailing_return_10years,long_term_projected_earnings_growth,historical_earnings_growth
LU0292109856,Xtrackers FTSE China 50 UCITS ETF 1C,China Equity,equity,3.0,2.0,"The aim is for the investment to reflect the performance of the FTSE CHINA 50 Index (Index) which is designed to reflect the performance of the shares of 50 mainland Chinese companies whose shares are listed on the Hong Kong Stock Exchange and are therefore available to international investors. The companies are selected on the basis that they have the largest combined value of readily available shares as compared to other companies on the stock exchange. The composition of the Index is reviewed at least quarterly with an additional annual review to assess the liquidity of the shares included in the Index. The Index is calculated on a total return net basis which means that all dividends and distributions of the companies are reinvested in the shares after tax. To achieve the aim, the Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index.",Acc,13.04,100.0,0.0,CHN: 100.0,0.612,0.4,SEK,358.45,2020-11-13,3.1,0.68,8.84,4.18,5.14,10.89
LU0292109344,Xtrackers MSCI Brazil UCITS ETF 1C,Brazil Equity,equity,4.0,4.0,"The aim is for the investment to reflect the performance of the MSCI Total Return Net Brazil Index (Index) which is designed to reflect the performance of the listed shares of certain companies from Brazil. The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting on the Index depends on its relative size. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced at least quarterly. To achieve the aim, the Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index as determined by the Sub-Portfolio Manager of the Fund which is Deutsche Asset Management (UK) Limited.",Acc,8.82,100.0,0.0,BRA: 100.0,0.65,0.45,SEK,506.4,2020-11-13,2.77,9.7,22.27,0.05,5.71,10.01
LU0292107645,Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C,Global Emerging Markets Equity,equity,3.0,3.0,"The aim is for the investment to reflect the performance of the MSCI Total Return Net Emerging Markets Index (Index) which is designed to reflect the performance of the listed shares of certain companies from global emerging markets, as classified by MSCI Inc. (MSCI) and as shown on the website of MSCI (www.msci.com/market-classification). The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting in the Index depends on its relative size. The Index is reviewed and rebalanced at least quarterly. To achieve the aim, the Fund will invest in transferable securities and enter into financial contracts (derivatives) with one or more swap counterparties relating to the transferable securities and the Index, in order to obtain the return on the Index.",Acc,15.09,99.95,0.0,"CHN: 42.85, TWN: 12.61, KOR: 11.9, IND: 8.15, BRA: 4.39, ZAF: 3.43, SAU: 2.68, RUS: 2.56, THA: 1.69, MYS: 1.66, MEX: 1.64, IDN: 1.32, PHL: 0.78, QAT: 0.77, ARE: 0.55, POL: 0.53, CHL: 0.5, HKG: 0.42, TUR: 0.31, USA: 0.23, HUN: 0.18, COL: 0.16, PER: 0.16, LUX: 0.12, GRC: 0.11, EGY: 0.1, CZE: 0.09, NLD: 0.07, ARG: 0.02, PAK: 0.02, ROU: 0.02",0.49876,0.29,SEK,444.55,2020-11-13,6.8,3.05,12.56,4.0,8.73,4.98
FR0010821819,Amundi ETF MSCI Europe ex EMU UCITS ETF,Europe Large-Cap Blend Equity,equity,1.0,4.0,"The investment seeks to track the price and yield performance, before fees and expenses, of the MSCI Europe ex EMU index. The index is an equity index calculated and published by the international index provider MSCI Inc. (MSCI). The equities that make up the MSCI Europe ex EMU Index are drawn from the leading securities traded in the markets of 5 European countries other than those of the European Economic and Monetary Union.",Acc,19.32,99.69,0.0,"GBR: 41.88, CHE: 35.07, SWE: 10.52, DNK: 8.66, NOR: 1.83, USA: 1.42, FIN: 0.62",0.3,0.3,EUR,243.7,2020-11-13,-2.27,3.04,7.42,6.73,7.28,-1.46
FR0010756114,Amundi ETF MSCI World ex EMU UCITS ETF,Global Large-Cap Blend Equity,equity,3.0,5.0,"The investment seeks to track the price and yield performance, before fees and expenses, of the MSCI World Ex EMU index, net dividends reinvested (Net Return), in Euros, whether the trend is rising or falling. The fund will at all times have at least 60% exposed to a non-French equity market or to the equity markets of a number of countries (one of which may be France).",Acc,22.14,99.97,0.0,"USA: 72.96, JPN: 8.81, GBR: 4.59, CHE: 3.7, CAN: 3.46, AUS: 2.27, SWE: 1.06, HKG: 0.96, DNK: 0.86, SGP: 0.38, CHN: 0.23, ISR: 0.19, NOR: 0.18, BRA: 0.14, NZL: 0.11, FIN: 0.06, MAC: 0.04, PNG: 0.01",0.35,0.35,EUR,335.1,2020-11-13,9.7,9.71,13.79,12.41,8.86,5.25
CH0111762537,UBS ETF (CH) – SMIM® (CHF) A-dis,Switzerland Small/Mid-Cap Equity,equity,4.0,3.0,"The investment seeks to track the price and yield performance, before fees and expenses, of the SMIM SMI Mid index. The index features the 30 largest mid-cap stocks on the Swiss equity market that are not already included in the blue chip SMI index.",Annually,15.57,100.12,0.0,"CHE: 95.03, TWN: 3.0, USA: 1.78, NLD: 0.13, GBR: 0.04, SGP: 0.01",0.25467,0.25,CHF,274.1,2020-11-13,6.85,7.37,15.84,12.3,7.79,13.71
DE000A1CXBV8,L&G Longer Dated All Commodities UCITS ETF,Commodities - Broad Basket,equity,4.21,3.7,"The Fund is designed to track the performance of the Bloomberg Commodity Index 3 Month Forward Total Return (the ""Underlying Index""). The Fund is an Exchange Traded Fund (""ETF"") which is tradable by investors on stock exchanges intraday and can be created and redeemed directly with the Issuer by authorised participants. The Fund is authorised and regulated as a UCITS and is eligible for investment by other UCITS. The Fund gains exposure to the performance of the Underlying Index through swaps entered into with multiple swap counterparties participating on the UCITS ETF platform. Any exposure to the swap counterparties is collateralised on a daily basis. Details of the collateral held is available at: www. etfsecurities. com .",Acc,-10.48,67.69,0.0,"CAN: 44.72, USA: 32.29, IND: 5.75, CHN: 5.38, PHL: 5.26, DNK: 4.04, THA: 2.57",0.30117,0.3,EUR,11.67,2020-11-13,-3.61,-1.54,4.27,-2.96,6.02,21.25
LU0322252171,Xtrackers MSCI AC Asia ex Japan Swap UCITS ETF 1C,Asia ex-Japan Equity,equity,3.0,3.0,"The aim is for the investment to reflect the performance of the MSCI AC Asia ex Japan TRN Index (Index) which is designed to reflect the performance of the listed shares of certain companies from developed and emerging markets in Asia, as classified by MSCI Inc. (MSCI) and as shown on the website of MSCI (www.msci.com/market-classification). The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting in the Index depends on its relative size. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced at least quarterly. The Fund will invest in transferable securities and enter into financial contracts (derivatives) with one or more swap counterparties relating to the transferable securities and the Index.",Acc,14.72,100.0,0.0,"CHN: 47.84, TWN: 13.94, KOR: 13.16, IND: 9.01, HKG: 6.89, SGP: 2.39, THA: 1.87, MYS: 1.83, IDN: 1.46, PHL: 0.86, GBR: 0.3, MAC: 0.24, USA: 0.19, PAK: 0.02",0.65,0.45,SEK,431.45,2020-11-13,6.72,2.3,12.35,6.09,9.72,3.82
LU0322252338,Xtrackers MSCI Pacific ex Japan UCITS ETF 1C,Pacific ex-Japan Equity,equity,3.0,3.0,"The aim is for the investment to reflect the performance of the MSCI Pacific ex Japan TRN Index (Index) which is designed to reflect the performance of the listed shares of certain companies from developed countries in the Pacific, as classified by MSCI Inc. (MSCI) and as shown on the website of MSCI (www.msci.com/market-classification). The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting in the Index depends on its relative size. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index.",Acc,11.02,100.0,0.0,"AUS: 58.65, HKG: 24.77, SGP: 9.2, NZL: 2.77, CHN: 1.85, GBR: 1.12, MAC: 0.91, USA: 0.49, PNG: 0.23",0.45657,0.3,SEK,614.9,2020-11-13,10.29,5.82,13.17,7.14,5.58,-6.94
LU0488317701,ComStage NYSE Arca Gold BUGS UCITS ETF,Sector Equity Precious Metals,equity,4.0,3.0,"The investment seeks to track the price and yield performance, before fees and expense, of the NYSE Arca Gold BUGS (HUI) index. The index is composed of gold mining companies. It reflects short-term price movements in the price of gold by firms in the index.",Annually,7.05,99.96,0.0,"CAN: 67.19, USA: 19.13, ZAF: 9.85, PER: 3.82",0.65,0.081,USD,31.45,2020-11-13,34.14,18.7,27.65,-3.81,17.64,83.34
LU0488317701,ComStage NYSE Arca Gold BUGS UCITS ETF,Sector Equity Precious Metals,equity,4.0,3.0,"The investment seeks to track the price and yield performance, before fees and expense, of the NYSE Arca Gold BUGS (HUI) index. The index is composed of gold mining companies. It reflects short-term price movements in the price of gold by firms in the index.",Annually,7.05,99.96,0.0,"CAN: 67.19, USA: 19.13, ZAF: 9.85, PER: 3.82",0.65,0.081,EUR,26.66,2020-11-13,34.44,18.9,27.31,-3.41,17.64,83.34
LU0488317701,ComStage NYSE Arca Gold BUGS UCITS ETF,Sector Equity Precious Metals,equity,4.0,3.0,"The investment seeks to track the price and yield performance, before fees and expense, of the NYSE Arca Gold BUGS (HUI) index. The index is composed of gold mining companies. It reflects short-term price movements in the price of gold by firms in the index.",Acc,7.05,99.96,0.0,"CAN: 67.19, USA: 19.13, ZAF: 9.85, PER: 3.82",0.65,0.081,EUR,26.44,2020-11-13,33.65,18.84,27.12,-3.5,17.64,83.34
LU0488317701,ComStage NYSE Arca Gold BUGS UCITS ETF,Sector Equity Precious Metals,equity,4.0,3.0,"The investment seeks to track the price and yield performance, before fees and expense, of the NYSE Arca Gold BUGS (HUI) index. The index is composed of gold mining companies. It reflects short-term price movements in the price of gold by firms in the index.",Acc,7.05,99.96,0.0,"CAN: 67.19, USA: 19.13, ZAF: 9.85, PER: 3.82",0.65,0.081,EUR,26.4,2020-11-13,33.54,18.88,27.31,-3.49,17.64,83.34
LU0490618542,Xtrackers S&P 500 Swap UCITS ETF 1C,US Large-Cap Blend Equity,equity,3.0,5.0,"The aim is for your investment to reflect the performance of the S&P 500 Index (Index) which is designed to reflect the performance of shares of 500 companies representing all major US industries. The Index contains shares of large companies traded on the NYSE Euronext or the NASDAQ OMX markets. A companys weighting in the Index depends on its relative size based on the combined value of a companys readily available shares as compared to other companies on the stock markets. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. To achieve the aim, the Fund will invest in transferable securities and enter into financial contracts (derivatives) with one or more counterparties relating to the transferable securities and the Index, in order to obtain the return on the Index. No dividends will be paid on your shares. You may redeem your shares on demand on a daily basis.",Acc,26.87,100.0,0.0,"USA: 99.08, GBR: 0.54, CHE: 0.33, SGP: 0.04, RUS: 0.01",0.15,0.05,USD,66.84,2020-11-13,13.04,13.27,17.37,15.81,9.24,11.26
LU0490618542,Xtrackers S&P 500 Swap UCITS ETF 1C,US Large-Cap Blend Equity,equity,3.0,5.0,"The aim is for your investment to reflect the performance of the S&P 500 Index (Index) which is designed to reflect the performance of shares of 500 companies representing all major US industries. The Index contains shares of large companies traded on the NYSE Euronext or the NASDAQ OMX markets. A companys weighting in the Index depends on its relative size based on the combined value of a companys readily available shares as compared to other companies on the stock markets. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. To achieve the aim, the Fund will invest in transferable securities and enter into financial contracts (derivatives) with one or more counterparties relating to the transferable securities and the Index, in order to obtain the return on the Index. No dividends will be paid on your shares. You may redeem your shares on demand on a daily basis.",Acc,26.87,100.0,0.0,"USA: 99.08, GBR: 0.54, CHE: 0.33, SGP: 0.04, RUS: 0.01",0.15,0.05,EUR,56.52,2020-11-13,12.03,13.24,17.34,15.82,9.24,11.26
LU0490618542,Xtrackers S&P 500 Swap UCITS ETF 1C,US Large-Cap Blend Equity,equity,3.0,5.0,"The aim is for your investment to reflect the performance of the S&P 500 Index (Index) which is designed to reflect the performance of shares of 500 companies representing all major US industries. The Index contains shares of large companies traded on the NYSE Euronext or the NASDAQ OMX markets. A companys weighting in the Index depends on its relative size based on the combined value of a companys readily available shares as compared to other companies on the stock markets. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. To achieve the aim, the Fund will invest in transferable securities and enter into financial contracts (derivatives) with one or more counterparties relating to the transferable securities and the Index, in order to obtain the return on the Index. No dividends will be paid on your shares. You may redeem your shares on demand on a daily basis.",Acc,26.87,100.0,0.0,"USA: 99.08, GBR: 0.54, CHE: 0.33, SGP: 0.04, RUS: 0.01",0.15,0.05,EUR,56.55,2020-11-13,12.14,13.28,17.41,15.85,9.24,11.26
IE00B5KQNG97,HSBC S&P 500 UCITS ETF,US Large-Cap Blend Equity,equity,2.0,5.0,"The investment objective of the Fund is to replicate the performance of the S&P 500 Index (the Index), while minimizing as far as possible the tracking error between the Funds performance and that of the Index. The Index is a free float adjusted market-capitalization index designed to measure large cap US equity market performance. In seeking to achieve its investment objective, the Fund will aim to invest in the constituents of the Index in generally the same proportions in which they are included in the Index.",Annually,26.73,99.94,0.0,"USA: 99.01, GBR: 0.57, CHE: 0.37, SGP: 0.04, RUS: 0.01",0.09,0.09,USD,35.94,2020-11-13,12.96,13.05,17.09,15.71,9.24,11.26
IE00B5KQNG97,HSBC S&P 500 UCITS ETF,US Large-Cap Blend Equity,equity,2.0,5.0,"The investment objective of the Fund is to replicate the performance of the S&P 500 Index (the Index), while minimizing as far as possible the tracking error between the Funds performance and that of the Index. The Index is a free float adjusted market-capitalization index designed to measure large cap US equity market performance. In seeking to achieve its investment objective, the Fund will aim to invest in the constituents of the Index in generally the same proportions in which they are included in the Index.",Annually,26.73,99.94,0.0,"USA: 99.01, GBR: 0.57, CHE: 0.37, SGP: 0.04, RUS: 0.01",0.09,0.09,GBX,2731.35,2020-11-13,12.53,13.06,17.11,15.72,9.24,11.26
LU0496786574,Lyxor S&P 500 UCITS ETF - D-EUR,US Large-Cap Blend Equity,equity,2.0,5.0,"The Lyxor S&P 500 UCITS ETF is a UCITS compliant exchange traded fund that aims to track the benchmark index S&P 500 Net Total Return Index.The S&P 500 Net Total Return Index includes 500 leading companies in leading industries of the U.S. economy and reflects the risk and return characteristics of the broader large cap universe on an on-going basis. The complete constuction of the index is available on www.standardandpoors.com.Lyxor ETFs are efficient investment vehicles listed on exchange that offer transparent, liquid and low-cost exposure to the underlying benchmark index.",Annually,26.87,100.0,0.0,"USA: 99.08, GBR: 0.54, CHE: 0.33, SGP: 0.04, RUS: 0.01",0.15,0.15,EUR,30.86,2020-11-13,12.02,13.18,17.29,15.81,9.24,11.26
LU0496786657,Lyxor S&P 500 UCITS ETF - D-USD,US Large-Cap Blend Equity,equity,2.0,5.0,"The Lyxor S&P 500 UCITS ETF is a UCITS compliant exchange traded fund that aims to track the benchmark index S&P 500 Net Total Return Index.The S&P 500 Net Total Return Index includes 500 leading companies in leading industries of the U.S. economy and reflects the risk and return characteristics of the broader large cap universe on an on-going basis. The complete constuction of the index is available on www.standardandpoors.com.Lyxor ETFs are efficient investment vehicles listed on exchange that offer transparent, liquid and low-cost exposure to the underlying benchmark index.",Annually,26.87,100.0,0.0,"USA: 99.08, GBR: 0.54, CHE: 0.33, SGP: 0.04, RUS: 0.01",0.15,0.15,USD,36.51,2020-11-13,13.09,13.2,17.32,15.8,9.24,11.26
LU0496786574,Lyxor S&P 500 UCITS ETF - D-EUR,US Large-Cap Blend Equity,equity,2.0,5.0,"The Lyxor S&P 500 UCITS ETF is a UCITS compliant exchange traded fund that aims to track the benchmark index S&P 500 Net Total Return Index.The S&P 500 Net Total Return Index includes 500 leading companies in leading industries of the U.S. economy and reflects the risk and return characteristics of the broader large cap universe on an on-going basis. The complete constuction of the index is available on www.standardandpoors.com.Lyxor ETFs are efficient investment vehicles listed on exchange that offer transparent, liquid and low-cost exposure to the underlying benchmark index.",Acc,26.87,100.0,0.0,"USA: 99.08, GBR: 0.54, CHE: 0.33, SGP: 0.04, RUS: 0.01",0.15,0.15,EUR,30.85,2020-11-13,11.98,13.17,17.34,15.8,9.24,11.26
LU0496786657,Lyxor S&P 500 UCITS ETF - D-USD,US Large-Cap Blend Equity,equity,2.0,5.0,"The Lyxor S&P 500 UCITS ETF is a UCITS compliant exchange traded fund that aims to track the benchmark index S&P 500 Net Total Return Index.The S&P 500 Net Total Return Index includes 500 leading companies in leading industries of the U.S. economy and reflects the risk and return characteristics of the broader large cap universe on an on-going basis. The complete constuction of the index is available on www.standardandpoors.com.Lyxor ETFs are efficient investment vehicles listed on exchange that offer transparent, liquid and low-cost exposure to the underlying benchmark index.",Annually,26.87,100.0,0.0,"USA: 99.08, GBR: 0.54, CHE: 0.33, SGP: 0.04, RUS: 0.01",0.15,0.15,GBX,2771.85,2020-11-13,12.54,13.18,17.32,15.8,9.24,11.26
IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc),US Large-Cap Blend Equity,equity,2.0,5.0,"The investment objective of the Fund is to deliver the net total return performance of the Benchmark Index (being the S&P 500 Index), less the fees and expenses of the Fund. In order to achieve this investment objective, the investment policy of the Fund is to invest in a portfolio of equity securities that as far as possible and practicable consists of the component securities of the S&P 500 Index, this Funds Benchmark Index.",Acc,26.75,99.77,0.0,"USA: 99.03, GBR: 0.57, CHE: 0.34, SGP: 0.04, RUS: 0.01",0.07,0.0,USD,358.65,2020-11-13,12.71,12.93,17.05,15.61,9.24,11.25
IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc),US Large-Cap Blend Equity,equity,2.0,5.0,"The investment objective of the Fund is to deliver the net total return performance of the Benchmark Index (being the S&P 500 Index), less the fees and expenses of the Fund. In order to achieve this investment objective, the investment policy of the Fund is to invest in a portfolio of equity securities that as far as possible and practicable consists of the component securities of the S&P 500 Index, this Funds Benchmark Index.",Acc,26.75,99.77,0.0,"USA: 99.03, GBR: 0.57, CHE: 0.34, SGP: 0.04, RUS: 0.01",0.07,0.0,EUR,303.39,2020-11-13,12.58,12.93,17.05,15.69,9.24,11.25
IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc),US Large-Cap Blend Equity,equity,2.0,5.0,"The investment objective of the Fund is to deliver the net total return performance of the Benchmark Index (being the S&P 500 Index), less the fees and expenses of the Fund. In order to achieve this investment objective, the investment policy of the Fund is to invest in a portfolio of equity securities that as far as possible and practicable consists of the component securities of the S&P 500 Index, this Funds Benchmark Index.",Acc,26.75,99.77,0.0,"USA: 99.03, GBR: 0.57, CHE: 0.34, SGP: 0.04, RUS: 0.01",0.07,0.0,EUR,303.44,2020-11-13,11.75,12.94,17.04,15.67,9.24,11.25
LU0489337690,Xtrackers FTSE Developed Europe Real Estate UCITS ETF 1C,Property - Indirect Europe,equity,3.0,3.0,"The aim is for the investment to reflect the performance of the FTSE EPRA/NAREIT DEVELOPED EUROPE NET TOTAL RETURN Index (Index) which is designed to reflect the performance of the shares of certain property companies (including real estate investment trusts) listed in European developed countries. The weighting of a company on the Index depends on its size, based on the combined value of a companys shares compared to other companies. The Index is calculated on a total return net basis which means that all dividends and distributions are reinvested in the Index after tax. The composition of the Index is reviewed at least quarterly. To achieve the aim, the Fund will attempt to replicate the Index by buying a substantial number of the shares in the Index in the same proportion as the Index as determined by the Sub-Portfolio Manager of the Fund which is Deutsche Asset Management (UK) Limited.",Acc,7.88,95.49,0.0,"DEU: 32.74, GBR: 22.92, SWE: 13.15, FRA: 10.24, CHE: 6.91, BEL: 6.34, ESP: 2.36, FIN: 1.78, NOR: 0.97, NLD: 0.92, AUT: 0.86, IRL: 0.66, ITA: 0.1, USA: 0.07",0.33,0.13,EUR,26.2,2020-11-13,-9.13,2.43,6.59,8.19,5.51,-8.82
LU0476289466,Xtrackers MSCI Mexico UCITS ETF 1C,Other Equity,equity,3.45,2.38,"The aim is for the investment to reflect the performance of the MSCI Mexico TRN Index (Index) which is designed to reflect the performance of the listed shares of certain companies from Mexico. The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting on the Index depends on its relative size. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced at least quarterly. To achieve the aim, the Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index.",Acc,16.73,100.0,0.0,MEX: 100.0,0.65,0.45,USD,3.89,2020-11-13,-12.68,-6.67,-1.48,-0.82,11.08,9.8
LU0476289540,Xtrackers MSCI Canada UCITS ETF 1C,Canada Equity,equity,5.0,2.0,"The aim is for the investment to reflect the performance of the MSCI CANADA TRN Index (Index) which is designed to reflect the performance of the listed shares of certain companies from Canada. The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting in the Index depends on its relative size. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced at least quarterly. To achieve the aim, the Fund will attempt to replicate the Index by buying a substantial number of the shares in the Index in a similar proportion as the Index as determined by the Investment Manager of the Fund, which is Deutsche Asset Management Investment GmbH, and the Sub-Portfolio Manager of the Fund which is Deutsche Asset Management (UK) Limited.",Acc,11.45,100.0,0.0,CAN: 100.0,0.39742,0.15,USD,55.38,2020-11-13,-1.86,1.51,10.16,3.95,5.94,12.44
LU0489337690,Xtrackers FTSE Developed Europe Real Estate UCITS ETF 1C,Property - Indirect Europe,equity,3.0,3.0,"The aim is for the investment to reflect the performance of the FTSE EPRA/NAREIT DEVELOPED EUROPE NET TOTAL RETURN Index (Index) which is designed to reflect the performance of the shares of certain property companies (including real estate investment trusts) listed in European developed countries. The weighting of a company on the Index depends on its size, based on the combined value of a companys shares compared to other companies. The Index is calculated on a total return net basis which means that all dividends and distributions are reinvested in the Index after tax. The composition of the Index is reviewed at least quarterly. To achieve the aim, the Fund will attempt to replicate the Index by buying a substantial number of the shares in the Index in the same proportion as the Index as determined by the Sub-Portfolio Manager of the Fund which is Deutsche Asset Management (UK) Limited.",Acc,7.88,95.49,0.0,"DEU: 32.74, GBR: 22.92, SWE: 13.15, FRA: 10.24, CHE: 6.91, BEL: 6.34, ESP: 2.36, FIN: 1.78, NOR: 0.97, NLD: 0.92, AUT: 0.86, IRL: 0.66, ITA: 0.1, USA: 0.07",0.33,0.13,GBX,2353.5,2020-11-13,-9.45,2.47,6.58,8.19,5.51,-8.82
LU0476289540,Xtrackers MSCI Canada UCITS ETF 1C,Canada Equity,equity,5.0,2.0,"The aim is for the investment to reflect the performance of the MSCI CANADA TRN Index (Index) which is designed to reflect the performance of the listed shares of certain companies from Canada. The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting in the Index depends on its relative size. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced at least quarterly. To achieve the aim, the Fund will attempt to replicate the Index by buying a substantial number of the shares in the Index in a similar proportion as the Index as determined by the Investment Manager of the Fund, which is Deutsche Asset Management Investment GmbH, and the Sub-Portfolio Manager of the Fund which is Deutsche Asset Management (UK) Limited.",Acc,11.45,100.0,0.0,CAN: 100.0,0.39742,0.15,EUR,46.8,2020-11-13,-2.59,1.48,10.12,3.96,5.94,12.44
LU0476289466,Xtrackers MSCI Mexico UCITS ETF 1C,Other Equity,equity,3.43,2.38,"The aim is for the investment to reflect the performance of the MSCI Mexico TRN Index (Index) which is designed to reflect the performance of the listed shares of certain companies from Mexico. The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting on the Index depends on its relative size. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced at least quarterly. To achieve the aim, the Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index.",Acc,16.73,100.0,0.0,MEX: 100.0,0.65,0.45,GBX,295.05,2020-11-13,-13.14,-6.68,-1.48,-0.81,11.08,9.8
LU0476289466,Xtrackers MSCI Mexico UCITS ETF 1C,Other Equity,equity,3.42,2.37,"The aim is for the investment to reflect the performance of the MSCI Mexico TRN Index (Index) which is designed to reflect the performance of the listed shares of certain companies from Mexico. The companies making up the Index are large and medium sized companies based on the combined value of a companys readily available shares as compared to other companies. A companys weighting on the Index depends on its relative size. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced at least quarterly. To achieve the aim, the Fund will attempt to replicate the Index by buying all (or, on an exceptional basis, a substantial number of) the shares in the Index in the same proportion as they have in the Index.",Acc,16.73,100.0,0.0,MEX: 100.0,0.65,0.45,EUR,3.29,2020-11-13,-14.74,-6.71,-1.5,-0.8,11.08,9.8
LU0486851024,Xtrackers MSCI Europe Value UCITS ETF 1C,Europe Large-Cap Value Equity,equity,4.0,3.0,"The aim is for the investment to reflect the performance of the MSCI Europe Enhanced Value TRN Index (Index) which is designed to reflect the performance of the shares of certain companies from European markets. The shares are chosen on the basis that they exhibit higher value characteristics relative to their peers. When selecting which shares to choose, a number of factors are considered, including the market value of the company relative to its actual value based on its assets; its market value relative to its forecasted earnings; and its entire economic value relative to its cash flow. The Index is calculated on a total return net basis which means that all dividends and distributions by the companies are reinvested in the shares after tax. The Index is reviewed and rebalanced semi-annually. To achieve the aim, the Fund will attempt to replicate the Index by buying a substantial number of the shares in the Index in a similar proportion as the Index.",Acc,5.39,99.69,0.0,"GBR: 25.37, FRA: 23.96, DEU: 17.82, CHE: 6.93, NLD: 5.63, ITA: 5.43, ESP: 4.38, SWE: 2.84, FIN: 2.17, DNK: 1.46, SGP: 1.31, USA: 1.05, BEL: 0.72, AUT: 0.34, PRT: 0.34, NOR: 0.22, LUX: 0.05",0.25887,0.15,EUR,20.05,2020-11-13,-9.13,-2.39,5.56,4.11,8.49,-5.1
LU0489337690,Xtrackers FTSE Developed Europe Real Estate UCITS ETF 1C,Property - Indirect Europe,equity,3.0,3.0,"The aim is for the investment to reflect the performance of the FTSE EPRA/NAREIT DEVELOPED EUROPE NET TOTAL RETURN Index (Index) which is designed to reflect the performance of the shares of certain property companies (including real estate investment trusts) listed in European developed countries. The weighting of a company on the Index depends on its size, based on the combined value of a companys shares compared to other companies. The Index is calculated on a total return net basis which means that all dividends and distributions are reinvested in the Index after tax. The composition of the Index is reviewed at least quarterly. To achieve the aim, the Fund will attempt to replicate the Index by buying a substantial number of the shares in the Index in the same proportion as the Index as determined by the Sub-Portfolio Manager of the Fund which is Deutsche Asset Management (UK) Limited.",Acc,7.88,95.49,0.0,"DEU: 32.74, GBR: 22.92, SWE: 13.15, FRA: 10.24, CHE: 6.91, BEL: 6.34, ESP: 2.36, FIN: 1.78, NOR: 0.97, NLD: 0.92, AUT: 0.86, IRL: 0.66, ITA: 0.1, USA: 0.07",0.33,0.13,EUR,26.16,2020-11-13,-9.36,2.45,6.58,8.2,5.51,-8.82
